name,ticker,industry
Six Flags Entertainment New,SIX,Leisure & Recreation Services
Scienjoy Holding,SJ,Unclassified
South Jersey Industries,SJI,Utility - Natural Gas Distribution
J M Smucker,SJM,Food Items - Miscellaneous/Diversified
Shaw Communications,SJR,Cable TV Providers
San Juan Basin Royalty Trust,SJT,Oil & Gas - US Royalty
SJW Group,SJW,Utility - Water Supply
Skillz,SKLZ,Gaming
SK Telecom,SKM,Wireless - Non-US Providers
Tanger Factory Outlet Centers,SKT,REIT - Retail Equity Trusts
Skechers U.S.A,SKX,Shoes & Related Apparel
Skyline,SKY,Building - Mobile Home & RV Manufacturing
SkyWest,SKYW,Transportation - Airlines
Silicon Laboratories,SLAB,Semiconductor - Analog & Mixed
Social Leverage Acquisition Corp I,SLAC,UNCLASSIFIED
Schlumberger,SLB,Oil & Gas - Field Services
U.S Silica Holdings,SLCA,Mining - Miscellaneous
Silver Crest Acquisition,SLCR,Unclassified
Select Bancorp,SLCT,Finance - Savings & Loans
Solid Biosciences,SLDB,Medical - Biomedical and Genetics
Sun Life Financial,SLF,Life Insurance Providers
SL Green Realty,SLG,REIT - Other Equity Trusts
Super League Gaming,SLGG,Gaming
Sol-Gel Technologies,SLGL,Medical - Generic Drugs
Silgan Holdings,SLGN,Containers - Metal & Glass
SLM,SLM,Finance - Consumer Loands
Silence Therapeutics,SLN,Medical - Drug Manufacturing
Soleno Therapeutics,SLNO,Medical - Drug Manufacturing
Simulations Plus,SLP,Computer Software
SelectQuote,SLQT,Multi-Line Insurance Providers
SLR Investment,SLRC,Finance - SBIC & Commercial
Salarius Pharmaceuticals,SLRX,Medical - Drug Manufacturing
Galena Biopharma,SLS,Medical - Biomedical and Genetics
SM Energy,SM,Oil & Gas - US Exploration and Production
Smartsheet,SMAR,Internet Software
Southern Missouri Bancorp,SMBC,Finance - Savings & Loans
SmartFinancial,SMBK,Banks - Northeast
Super Micro Computer,SMCI,Computer Storage Devices
Sharps Compliance Corp,SMED,Pollution Control Equipment & Services
Sumitomo Mitsui Financial Group Inc,SMFG,Banks - Foreign
Scotts Miracle-Gro,SMG,Fertilizer Manufacturers
SEACOR Marine Holdings,SMHI,Transportation - Shipping
Smith-Midland,SMID,"Building - Cement, Concrete and Aggregates"
Schmitt Industries,SMIT,Machine Tools & Related Products
"Summit Midstream Partners, LP",SMLP,Oil & Gas - Production and Pipelines MLP
Summit Financial,SMMF,Banks - Southeast
Summit Therapeutics,SMMT,Medical - Drug Manufacturing
Standard Motor Products,SMP,Auto & Truck Replacement Parts
Simply Good Foods,SMPL,Food Items - Confectionery
Smith Micro Software,SMSI,Computer Software
Semtech,SMTC,Semiconductor - Analog & Mixed
Sanara MedTech,SMTI,Medical Products Manufacturing
Sierra Metals,SMTS,Mining - Miscellaneous
Snap-On,SNA,Tools - Hand Held
Snap,SNAP,Internet Software
Sleep Number,SNBR,Furniture Manufacturing
Seneca Biopharma,SNCA,Medical - Biomedical and Genetics
Synchronoss Technologies,SNCR,Internet Software
Sun Country Airlines Holdings,SNCY,Transportation - Airlines
