ticker,name,industry,Annual,nYear,Price,52w low,52w high,BVPS,P/E,EPS,EY,DPS,DY,ROE,ROE2,D/E,D/E2,P/E min,P/E max,P/E mid,P/E avg,EPS GR min,EY avg,EY std,EY 3Y avg,EY 5Y avg,EY 10Y avg,DY avg,DY 3Y avg,DY 5Y avg,DY 10Y avg,DPayout avg,Revenue GR 3Y avg,Revenue GR 5Y avg,Revenue GR 10Y avg,NP GR 3Y avg,NP GR 5Y avg,NP GR 10Y avg,EPS GR 3Y avg,EPS GR 5Y avg,EPS GR 10Y avg,check Revenue GR,check NP,check EPS GR,check OCF,neg Revenue GR,neg NP,neg EPS GR,neg OCF,Revenue start,Revenue end,EPS start,EPS end,OCF start,OCF end
BRK.B,Berkshire Hathaway,"Property, Casualty and Title Insurance",2020-12-01,10,272.11,167.04,272.97,193.13,15.3,17.78,6.53,0.0,0.0,9.8,9.8,0.26,0.26,6.81,126.04,66.42,25.36,12.72,6.98,3.3,7.71,7.66,6.98,0.0,0.0,0.0,0.0,0.0,5.74,6.31,7.71,12.04,12.61,0.0,-0.81,12.72,12.9,0,1,0,1,1+3,+,1+2+3+5+10,+,143688,286256,4.14,17.78,20476,39773
BYND,Beyond Meat,Food Items - Meat Products,2020-12-01,5,137.31,75.33,221.0,5.83,-161.54,-0.85,-0.62,0.0,0.0,-14.05,-14.05,0.03,0.03,0.0,0.0,0.0,,0.0,-0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,5,1+2+3+4+5,1+2+3+4+5,1+2+3+4+5,16,407,-0.54,-0.85,-23,-40
CRM,"Salesforce, Inc",Computer Software,2021-01-01,10,231.91,148.0,284.5,45.05,52.95,4.38,1.89,0.0,0.0,10.8,10.8,0.13,0.13,0.0,10234.0,5117.0,406.3,43.6,0.13,0.85,0.99,0.79,0.13,0.0,0.0,0.0,0.0,0.0,26.57,26.09,29.06,0.0,51.37,0.0,195.35,0.0,43.6,1,0,0,1,+,6+7+8+9+10,1+2+4+5+6+7+8+9+10,+,2267,21252,-0.02,4.38,592,4801
CSIQ,Canadian Solar,Solar Equipment and Services,2019-12-01,10,44.11,15.83,67.39,26.6,12.86,3.43,7.78,0.0,0.0,14.7,13.11,0.57,0.46,3.21,43.18,23.2,15.25,16.78,-9.53,57.92,16.63,13.84,0.0,0.0,0.0,0.0,0.0,0.0,3.91,1.57,17.63,-6.45,22.45,0.0,36.2,-7.19,16.78,0,0,0,0,1+4+8+10,8+9,1+4+5+7+8+9+10,4+8+10,1496,3201,1.16,2.83,-58,600
CVAC,CureVac,Medical - Biomedical and Genetics,2019-12-01,2,109.29,36.15,151.8,4.88,-185.24,-0.59,-0.54,0.0,0.0,-14.05,0.0,0.04,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,1+2,1+2,1+2,13,17,-0.4,-0.56,-74,-87
DIS,Disney,Media Conglomerates,2020-09-01,10,187.26,98.86,203.02,46.31,-68.34,-2.74,-1.46,0.0,0.0,-5.7,-3.32,0.63,0.63,0.0,32.64,16.32,16.24,0.0,5.59,2.61,3.72,4.72,5.59,1.38,1.18,1.36,1.38,21.41,5.85,4.5,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1+4,1,1+2+4,+,40893,65388,2.52,-1.58,6994,7618
EA,Electronic Arts,"Toys, Games and Hobby Products",2020-03-01,10,141.05,110.15,150.3,27.69,34.74,4.06,2.88,0.17,0.12,15.51,47.51,0.05,0.05,9.75,63.07,36.41,34.94,30.8,2.86,3.57,5.45,5.02,2.86,0.0,0.0,0.0,0.0,0.0,4.55,4.17,4.24,28.28,0.0,0.0,49.54,30.8,0.0,0,0,0,1,2+5+7+8+10,10,2+4+6+7+9+10,+,3589,5537,-0.84,10.3,320,1797
ENPH,Enphase Energy,Solar Equipment and Services,2020-12-01,10,150.01,34.34,229.04,3.57,157.91,0.95,0.63,0.0,0.0,35.44,35.44,0.01,0.01,0.0,227.88,113.94,108.28,0.0,-23.49,40.29,0.9,-30.47,0.0,0.0,0.0,0.0,0.0,0.0,39.35,16.74,28.79,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,4+5,3+4+5+6+7+8+9+10,1+2+3+4+5+6+7+8+9+10,4+5+6+8+9+10,150,774,-0.82,0.95,0,216
ETSY,Etsy,Internet Services,2020-12-01,9,219.99,59.76,251.86,5.89,81.78,2.69,1.22,0.0,0.0,63.9,63.9,1.49,1.49,0.0,140.67,70.33,59.13,58.15,1.13,1.82,1.5,1.13,0.0,0.0,0.0,0.0,0.0,0.0,57.55,44.54,0.0,0.0,0.0,0.0,58.15,0.0,0.0,0,0,0,1,9,5+6+7+8+9,3+4+5+6+7+8+9,+,75,1726,-0.03,2.69,10,679
FB,Facebook,Internet Services,2020-12-01,10,306.18,168.34,315.88,45.15,30.34,10.09,3.3,0.0,0.0,25.42,25.42,0.08,0.08,17.32,81.77,49.54,48.7,23.24,2.8,1.46,4.2,3.73,0.0,0.0,0.0,0.0,0.0,0.0,28.35,36.82,45.85,51.2,47.3,0.0,23.24,50.89,50.41,1,1,0,1,+,+,2+8+9,+,3711,85965,0.31,10.09,1549,38747
