date,price,eps,pe,ticker
2018-11-30,73.48,$1.31,56.09,NKE
2018-08-31,80.17,$1.25,64.14,NKE
2018-05-31,69.67,$1.15,60.58,NKE
2018-02-28,64.84,$1.06,61.17,NKE
2017-11-30,58.26,$2.31,25.22,NKE
2017-08-31,50.92,$2.35,21.67,NKE
2017-05-31,50.74,$2.51,20.22,NKE
2017-02-28,54.57,$2.40,22.74,NKE
2016-11-30,47.63,$2.27,20.98,NKE
2016-08-31,54.68,$2.22,24.63,NKE
2016-05-31,52.23,$2.16,24.18,NKE
2016-02-29,58.11,$2.16,26.9,NKE
2015-11-30,62.25,$2.06,30.29,NKE
2015-08-31,52.45,$1.98,26.56,NKE
2015-05-31,47.72,$1.85,25.8,NKE
2021-04-16,227.35,$-6.79,0.0,NVAX
2020-12-31,111.51,$-6.79,0.0,NVAX
2020-09-30,108.35,$-5.22,0.0,NVAX
2020-06-30,83.35,$-2.75,0.0,NVAX
2020-03-31,13.58,$-4.14,0.0,NVAX
2019-12-31,3.98,$-5.76,0.0,NVAX
2019-09-30,5.02,$-7.23,0.0,NVAX
2019-06-30,5.86,$-8.89,0.0,NVAX
2019-03-31,11.02,$-9.60,0.0,NVAX
2018-12-31,36.8,$-10.20,0.0,NVAX
2018-09-30,37.6,$-10.80,0.0,NVAX
2018-06-30,26.8,$-11.40,0.0,NVAX
2018-03-31,42.0,$-12.20,0.0,NVAX
2017-12-31,24.8,$-12.60,0.0,NVAX
2017-09-30,22.8,$-13.60,0.0,NVAX
2017-06-30,23.0,$-15.40,0.0,NVAX
2017-03-31,25.6,$-18.00,0.0,NVAX
2016-12-31,25.2,$-20.60,0.0,NVAX
2016-09-30,41.6,$-22.20,0.0,NVAX
2016-06-30,145.4,$-19.80,0.0,NVAX
2016-03-31,103.2,$-15.60,0.0,NVAX
2015-12-31,167.8,$-11.80,0.0,NVAX
2021-04-16,636.5,$6.89,92.38,NVDA
2021-01-31,519.42,$6.89,75.39,NVDA
2020-10-31,501.05,$6.11,82.0,NVDA
2020-07-31,424.2,$5.44,77.98,NVDA
2020-04-30,291.88,$5.35,54.56,NVDA
2020-01-31,235.96,$4.52,52.2,NVDA
2019-10-31,200.47,$3.91,51.27,NVDA
2019-07-31,168.09,$4.43,37.94,NVDA
2019-04-30,180.12,$5.29,34.05,NVDA
2019-01-31,142.9,$6.63,21.55,NVDA
2018-10-31,209.59,$7.49,27.98,NVDA
2018-07-31,243.29,$6.85,35.52,NVDA
2018-04-30,223.32,$6.01,37.16,NVDA
2018-01-31,243.92,$4.82,50.61,NVDA
2017-10-31,205.09,$4.03,50.89,NVDA
2017-07-31,161.02,$3.53,45.61,NVDA
2017-04-30,103.24,$3.01,34.3,NVDA
2017-01-31,107.93,$2.55,42.33,NVDA
2016-10-31,70.24,$1.91,36.77,NVDA
2016-07-31,56.26,$1.52,37.01,NVDA
2016-04-30,34.92,$1.17,29.84,NVDA
2016-01-31,28.68,$1.08,26.56,NVDA
2021-04-16,199.38,$0.15,1329.2,NXPI
2020-12-31,158.52,$0.15,1056.83,NXPI
2020-09-30,124.13,$-0.53,0.0,NXPI
2020-06-30,113.09,$-0.07,0.0,NXPI
2020-03-31,81.95,$0.84,97.56,NXPI
2019-12-31,125.26,$0.85,147.36,NXPI
2019-09-30,107.08,$1.39,77.04,NXPI
2019-06-30,95.46,$6.61,14.44,NXPI
2019-03-31,86.22,$6.63,13.0,NXPI
2018-12-31,71.29,$6.87,10.38,NXPI
2018-09-30,82.91,$8.10,10.24,NXPI
2018-06-30,105.67,$2.81,37.61,NXPI
2018-03-31,113.15,$2.79,40.55,NXPI
2017-12-31,113.24,$6.41,17.67,NXPI
2017-09-30,109.37,$4.61,23.72,NXPI
2017-06-30,105.85,$4.56,23.21,NXPI
2017-03-31,100.09,$4.38,22.85,NXPI
2016-12-31,94.78,$-0.57,0.0,NXPI
2016-09-30,98.65,$2.62,37.65,NXPI
2016-06-30,75.76,$3.85,19.68,NXPI
2016-03-31,78.4,$5.12,15.31,NXPI
2015-12-31,81.48,$5.82,14.0,NXPI
2021-04-16,78.95,$2.51,31.45,ORCL
2021-02-28,64.23,$2.51,25.59,ORCL
2020-11-30,57.25,$3.30,17.35,ORCL
2020-08-31,56.53,$3.19,17.72,ORCL
2020-05-31,52.9,$3.10,17.07,ORCL
2020-02-29,48.44,$3.18,15.23,ORCL
2019-11-30,54.74,$3.15,17.38,ORCL
2019-08-31,50.54,$3.07,16.46,ORCL
2019-05-31,48.92,$3.01,16.25,ORCL
2019-02-28,50.18,$2.76,18.18,ORCL
2018-11-30,46.75,$1.02,45.83,ORCL
2018-08-31,46.58,$0.93,50.08,ORCL
2018-05-31,44.62,$0.88,50.7,ORCL
2018-02-28,48.19,$0.82,58.77,ORCL
2017-11-30,46.48,$2.33,19.95,ORCL
2017-08-31,47.5,$2.29,20.74,ORCL
2017-05-31,42.67,$2.20,19.4,ORCL
2017-02-28,39.87,$2.10,18.99,ORCL
2016-11-30,37.48,$2.07,18.1,ORCL
2016-08-31,38.29,$2.10,18.23,ORCL
2016-05-31,37.2,$2.07,17.97,ORCL
2016-02-29,33.91,$2.03,16.71,ORCL
2015-11-30,35.78,$2.09,17.12,ORCL
2015-08-31,33.92,$2.14,15.85,ORCL
2015-05-31,39.63,$2.22,17.85,ORCL
2021-04-16,38.57,$1.71,22.56,PFE
2020-12-31,36.41,$1.71,21.29,PFE
2020-09-30,34.07,$1.55,21.98,PFE
2020-06-30,30.06,$2.52,11.93,PFE
2020-03-31,29.7,$2.80,10.61,PFE
2019-12-31,35.29,$2.87,12.3,PFE
2019-09-30,32.05,$2.86,11.21,PFE
2019-06-30,38.28,$2.19,17.48,PFE
2019-03-31,37.2,$1.95,19.08,PFE
2018-12-31,37.91,$1.86,20.38,PFE
2018-09-30,37.98,$3.95,9.62,PFE
2018-06-30,31.0,$3.73,8.31,PFE
2018-03-31,30.04,$3.59,8.37,PFE
2017-12-31,30.38,$3.51,8.65,PFE
2017-09-30,29.67,$1.62,18.31,PFE
2017-06-30,27.65,$1.36,20.33,PFE
2017-03-31,27.89,$1.18,23.63,PFE
2016-12-31,26.21,$1.16,22.6,PFE
2016-09-30,27.06,$1.13,23.95,PFE
2016-06-30,27.9,$1.26,22.14,PFE
2016-03-31,23.27,$1.35,17.24,PFE
2015-12-31,25.09,$1.24,20.24,PFE
2021-04-16,88.3,$-0.18,0.0,PLNT
2020-12-31,77.63,$-0.18,0.0,PLNT
2020-09-30,61.62,$0.07,880.29,PLNT
2020-06-30,60.57,$0.42,144.21,PLNT
2020-03-31,48.7,$1.19,40.92,PLNT
2019-12-31,74.68,$1.40,53.34,PLNT
2019-09-30,57.87,$1.33,43.51,PLNT
2019-06-30,72.44,$1.22,59.38,PLNT
2019-03-31,68.72,$1.10,62.47,PLNT
2018-12-31,53.62,$1.01,53.09,PLNT
2018-09-30,54.03,$0.68,79.46,PLNT
2018-06-30,43.94,$0.66,66.58,PLNT
2018-03-31,37.77,$0.53,71.26,PLNT
2017-12-31,34.63,$0.44,78.7,PLNT
2017-09-30,26.98,$0.66,40.88,PLNT
2017-06-30,23.34,$0.56,41.68,PLNT
2017-03-31,19.27,$0.51,37.78,PLNT
2016-12-31,20.1,$0.46,43.7,PLNT
2016-09-30,17.62,$0.34,51.83,PLNT
2016-06-30,16.58,$0.30,55.26,PLNT
2021-04-16,269.87,$3.54,76.23,PYPL
2020-12-31,234.2,$3.54,66.16,PYPL
2020-09-30,197.03,$2.65,74.35,PYPL
2020-06-30,174.23,$2.18,79.92,PYPL
2020-03-31,95.74,$1.58,60.59,PYPL
2019-12-31,108.17,$2.07,52.26,PYPL
2019-09-30,103.59,$2.13,48.63,PYPL
2019-06-30,114.46,$2.10,54.5,PYPL
2019-03-31,103.84,$1.85,56.13,PYPL
2018-12-31,84.09,$1.71,49.18,PYPL
2018-09-30,87.84,$1.72,51.07,PYPL
2018-06-30,83.27,$1.67,49.86,PYPL
2018-03-31,75.87,$1.57,48.32,PYPL
2017-12-31,73.62,$1.47,50.08,PYPL
2017-09-30,64.03,$1.29,49.64,PYPL
2017-06-30,53.67,$1.25,42.94,PYPL
2017-03-31,43.02,$1.18,36.46,PYPL
2016-12-31,39.47,$1.16,34.03,PYPL
2016-09-30,40.97,$1.14,35.94,PYPL
2016-06-30,36.51,$1.12,32.6,PYPL
2021-04-16,138.21,$5.85,23.63,QCOM
2020-12-31,151.59,$5.85,25.91,QCOM
2020-09-30,116.6,$4.53,25.74,QCOM
2020-06-30,89.9,$2.37,37.93,QCOM
2020-03-31,66.16,$3.38,19.58,QCOM
2019-12-31,85.64,$3.52,24.33,QCOM
2019-09-30,73.49,$3.59,20.47,QCOM
2019-06-30,72.72,$2.82,25.79,QCOM
2019-03-31,54.02,$1.89,28.58,QCOM
2018-12-31,53.3,$1.58,33.74,QCOM
2018-09-30,66.74,$-3.32,0.0,QCOM
2018-06-30,51.54,$-2.86,0.0,QCOM
2018-03-31,50.35,$-3.10,0.0,QCOM
2017-12-31,57.68,$-2.84,0.0,QCOM
2017-09-30,46.32,$1.65,28.07,QCOM
2017-06-30,48.81,$2.61,18.7,QCOM
2017-03-31,50.18,$3.00,16.73,QCOM
2016-12-31,56.53,$3.28,17.24,QCOM
2016-09-30,58.93,$3.81,15.47,QCOM
2016-06-30,45.7,$3.41,13.4,QCOM
2016-03-31,43.21,$3.17,13.63,QCOM
2015-12-31,41.84,$3.02,13.85,QCOM
2015-09-30,44.54,$3.20,13.92,QCOM
2021-04-16,213.3,$1.11,192.16,RGEN
2020-12-31,191.63,$1.11,172.64,RGEN
2020-09-30,147.54,$0.82,179.93,RGEN
2020-06-30,123.61,$0.58,213.12,RGEN
2020-03-31,96.54,$0.45,214.53,RGEN
2019-12-31,92.5,$0.44,210.23,RGEN
2019-09-30,76.69,$0.49,156.51,RGEN
2019-06-30,85.95,$0.56,153.48,RGEN
2019-03-31,59.08,$0.45,131.29,RGEN
2018-12-31,52.74,$0.36,146.5,RGEN
2018-09-30,55.46,$0.51,108.75,RGEN
2018-06-30,47.04,$0.52,90.46,RGEN
2018-03-31,36.18,$0.70,51.69,RGEN
2017-12-31,36.28,$0.71,51.1,RGEN
