ticker,name,Price,EPS,52w low,52w high,EPS GR 3Y avg,EPS GR 5Y avg,EPS GR 10Y avg,P/E mid,DPayout avg,intrinsic 3Y,intrinsic 5Y,intrinsic 10Y,Price A3,Price A5,Price A10,Price B
NFLX,Netflix,546.54,6.08,393.6,593.29,69.43,85.08,30.55,239.16,0.0,8.71,7.13,18.52,6.53,5.35,13.89,459.5
NKE,NIKE,134.31,2.13,84.11,147.95,-13.94,-2.86,5.19,48.44,34.19,71.53,33.64,21.87,53.65,25.23,16.4,105.18
NTDOY,,74.85,460.57,50.43,82.55,36.49,43.77,1.96,0.97,39.72,1684.93,1431.24,5792.49,1263.7,1073.43,4344.37,61.03
NVAX,Novavax,227.35,-7.27,16.41,331.68,0.0,0.0,0.0,0.0,0.0,-72.7,-72.7,-72.7,-54.53,-54.53,-54.53,120.45
NVDA,NVIDIA,636.5,6.9,267.11,648.57,12.7,44.91,31.99,56.96,17.87,44.66,17.67,23.84,33.49,13.25,17.88,392.99
NXPI,NXP Semiconductors,199.38,0.18,80.46,216.43,-69.6,-50.57,0.0,664.6,7.92,41535.76,436.39,1.94,31151.82,327.29,1.46,125.33
ORCL,Oracle,78.95,4.17,50.86,79.34,11.7,6.86,9.79,37.0,28.12,30.56,37.78,33.12,22.92,28.34,24.84,60.26
PFE,Pfizer,38.57,1.71,29.95,43.08,-21.39,9.03,5.3,16.13,71.52,138.38,18.79,22.31,103.78,14.09,16.73,34.28
PLNT,Planet Fitness,88.3,-0.19,45.87,90.34,0.0,0.0,0.0,440.14,0.0,-1.9,-1.9,-1.9,-1.42,-1.42,-1.42,60.55
PYPL,PayPal Holdings,269.87,3.54,107.41,309.14,34.04,28.77,0.0,56.26,0.0,9.84,11.32,35.4,7.38,8.49,26.55,173.98
QCOM,QUALCOMM,138.21,5.84,71.75,167.94,39.92,7.02,8.71,18.96,50.54,21.26,61.69,57.15,15.94,46.27,42.86,103.49
RGEN,Repligen,213.3,1.11,102.13,228.84,15.52,31.71,0.0,132.82,0.0,5.46,3.28,11.1,4.1,2.46,8.32,143.94
SE,,252.42,-2.92,50.35,285.0,0.0,0.0,0.0,0.0,0.0,-29.2,-29.2,-29.2,-21.9,-21.9,-21.9,127.78
SBUX,Starbucks,118.34,0.57,70.65,118.5,-26.26,-15.37,2.45,112.94,77.92,77.41,28.49,8.89,58.06,21.37,6.67,86.44
SEDG,SolarEdge Technologies,258.71,2.66,85.69,377.0,12.87,51.47,0.0,63.34,0.0,14.51,5.09,26.6,10.88,3.82,19.95,181.82
SONY,Sony,111.1,863.19,61.35,118.5,100.89,0.0,0.0,44.98,5.52,901.96,9108.38,9108.38,676.47,6831.28,6831.28,80.21
SPOT,Spotify Technology SA,292.02,-3.1,136.62,387.44,0.0,0.0,0.0,0.0,0.0,-31.0,-31.0,-31.0,-23.25,-23.25,-23.25,219.39
SSTK,Shutterstock,99.98,1.97,33.45,104.57,61.23,29.54,16.32,53.12,3.64,3.31,6.39,9.75,2.48,4.79,7.31,56.92
TCEHY,,81.0,16.52,50.9,99.4,30.13,40.16,34.29,5.71,8.85,55.39,43.25,49.69,41.54,32.44,37.27,66.9
TER,Teradyne,129.48,4.28,56.42,147.9,49.54,34.57,9.48,20.1,13.61,9.64,13.34,30.56,7.23,10.0,22.92,86.61
TSLA,Tesla,739.78,0.64,134.76,900.4,0.0,0.0,0.0,590.88,0.0,6.4,6.4,6.4,4.8,4.8,4.8,387.42
TTD,Trade Desk,718.86,4.95,212.5,972.8,62.67,52.51,0.0,108.72,0.0,7.84,9.29,49.5,5.88,6.97,37.12,463.4
TTWO,Take-Two Interactive Software,178.8,4.27,118.01,214.91,70.04,0.0,0.0,316.0,0.0,6.07,42.7,42.7,4.55,32.03,32.03,149.99
TWTR,Twitter,70.12,-1.44,25.05,80.75,0.0,0.0,0.0,72.78,0.0,-14.4,-14.4,-14.4,-10.8,-10.8,-10.8,43.43
U,Unity Software,100.74,-1.66,65.11,174.94,0.0,0.0,0.0,0.0,0.0,-16.6,-16.6,-16.6,-12.45,-12.45,-12.45,101.35
UBER,Uber Technologies,60.35,-3.86,26.58,64.05,0.0,0.0,0.0,0.0,0.0,-38.6,-38.6,-38.6,-28.95,-28.95,-28.95,38.95
UPWK,Upwork,49.01,-0.19,7.12,63.88,0.0,0.0,0.0,0.0,0.0,-1.9,-1.9,-1.9,-1.42,-1.42,-1.42,25.85
V,Visa,226.41,4.85,159.15,228.23,20.43,13.64,17.17,36.46,21.03,24.25,31.05,27.18,18.19,23.29,20.38,181.95
WING,Wingstop,137.25,0.78,101.73,172.87,-5.69,16.72,0.0,104.56,15.32,12.59,4.23,8.99,9.44,3.17,6.74,125.21
WORK,Slack Technologies,42.23,-0.53,24.09,44.57,0.0,0.0,0.0,0.0,0.0,-5.3,-5.3,-5.3,-3.97,-3.97,-3.97,30.85
ZM,Zoom Video Communications,329.95,2.25,132.67,588.84,0.0,0.0,0.0,550.19,0.0,22.5,22.5,22.5,16.88,16.88,16.88,283.21
NTES,NetEase,106.8,20.68,64.88,134.33,22.99,35.12,27.62,23.37,14.87,90.28,64.31,78.5,67.71,48.23,58.88,87.8
PINS,Pinterest,76.22,-0.22,15.82,89.9,0.0,0.0,0.0,0.0,0.0,-2.2,-2.2,-2.2,-1.65,-1.65,-1.65,40.27
SHOP,Shopify,1207.8,2.59,539.0,1499.75,0.0,0.0,0.0,325.79,0.0,25.9,25.9,25.9,19.42,19.42,19.42,856.05
